income,age,experience,married,house_ownership,car_ownership,profession,current_job_years,current_house_years,risk_flag
1303835,23,3,single,rented,no,Mechanical_engineer,3,13,0
7574516,40,10,single,rented,no,Software_Developer,9,13,0
3991815,66,4,married,rented,no,Technical_writer,4,10,0
6256451,41,2,single,rented,yes,Software_Developer,2,12,1
5768871,47,11,single,rented,no,Civil_servant,3,14,1
6915937,64,0,single,rented,no,Civil_servant,0,12,0
3954973,58,14,married,rented,no,Librarian,8,12,0
1706172,33,2,single,rented,no,Economist,2,14,0
7566849,24,17,single,rented,yes,Flight_attendant,11,11,0
8964846,23,12,single,rented,no,Architect,5,13,0
4634682,78,7,single,rented,no,Flight_attendant,7,12,0
6623263,22,4,single,rented,no,Designer,4,14,0
9120988,28,9,single,rented,no,Physician,9,12,0
8043880,57,12,single,rented,no,Financial_Analyst,8,10,0
9420838,48,6,single,rented,no,Technical_writer,6,10,1
5694236,39,2,married,rented,yes,Economist,2,10,0
7315839,72,8,married,rented,no,Air_traffic_controller,8,14,0
3666346,56,12,single,rented,no,Politician,12,11,1
2241112,28,8,single,rented,no,Police_officer,6,14,0
5431918,40,1,single,rented,no,Artist,1,14,0
9225468,54,14,single,rented,no,Surveyor,8,10,0
6506739,50,4,single,rented,no,Politician,4,11,0
9157379,72,13,single,rented,yes,Design_Engineer,9,10,0
9236505,35,19,single,rented,no,Chemical_engineer,6,14,0
1065465,23,15,married,rented,no,Hotel_Manager,4,12,0
1797876,76,20,single,norent_noown,no,Mechanical_engineer,11,14,0
6063428,38,6,married,rented,no,Dentist,6,13,0
9643150,24,13,single,rented,no,Comedian,6,14,0
8832725,64,5,single,rented,no,Biomedical_Engineer,5,11,1
4386333,31,16,single,rented,no,Physician,3,12,0
3939397,52,19,single,rented,yes,Flight_attendant,3,10,0
6944134,59,5,single,owned,no,Graphic_Designer,5,11,0
4128828,21,10,single,rented,no,Computer_hardware_engineer,10,12,0
5023035,26,10,single,rented,yes,Petroleum_Engineer,9,13,0
9086933,55,7,single,rented,no,Air_traffic_controller,7,13,0
7537675,45,4,single,rented,no,Graphic_Designer,4,14,0
9625415,77,15,married,rented,no,Secretary,9,10,0
7904011,71,3,single,rented,no,Computer_operator,3,11,0
3540135,78,4,single,rented,no,Biomedical_Engineer,4,11,0
8739032,55,3,married,rented,no,Politician,3,14,0
3217258,23,12,single,rented,yes,Petroleum_Engineer,8,10,0
2735428,72,20,single,rented,no,Surveyor,6,14,0
9760667,63,17,single,rented,no,Chartered_Accountant,13,12,1
8390825,30,11,single,rented,no,Secretary,7,10,0
9639445,45,9,single,rented,no,Technician,9,10,1
6868118,25,16,single,rented,no,Secretary,13,13,1
2471915,73,18,single,rented,no,Chemical_engineer,14,13,0
8477026,52,10,single,rented,no,Design_Engineer,10,10,0
8996641,75,12,single,rented,no,Microbiologist,12,13,0
4043791,48,18,single,rented,yes,Architect,13,14,0
4260004,27,5,single,norent_noown,no,Police_officer,5,13,0
3634814,74,4,single,rented,no,Fashion_Designer,4,11,0
9518593,71,6,single,rented,no,Artist,6,13,0
5990870,74,4,single,rented,no,Aviator,4,10,0
1213131,67,8,single,rented,no,Psychologist,8,11,0
1885923,46,16,single,rented,no,Magistrate,8,14,1
5554586,39,18,single,rented,no,Software_Developer,13,13,1
6555332,56,20,single,owned,no,Magistrate,4,10,0
9861298,59,16,single,rented,no,Technical_writer,9,11,1
9311486,68,9,single,rented,no,Lawyer,9,12,0
9440590,68,11,single,rented,no,Dentist,10,13,0
8773158,58,18,single,rented,yes,Firefighter,5,13,1
9724250,67,17,single,rented,yes,Dentist,3,13,0
1729774,28,6,married,rented,yes,Technical_writer,5,10,0
6178223,46,19,single,owned,yes,Architect,11,13,0
9822116,27,12,single,rented,no,Artist,12,13,0
4334000,36,4,single,rented,no,Politician,4,11,0
9576258,79,18,single,rented,yes,Air_traffic_controller,6,11,0
8788135,77,7,married,rented,no,Petroleum_Engineer,7,11,0
7002610,56,4,single,rented,no,Police_officer,4,12,0
5605985,57,12,single,rented,no,Engineer,3,11,0
3208322,55,18,single,rented,no,Air_traffic_controller,8,12,0
2408148,59,10,single,rented,no,Architect,7,11,0
9585696,42,13,single,rented,yes,Official,3,12,0
2116007,24,5,single,rented,yes,Analyst,5,13,1
3798306,42,11,single,rented,yes,Geologist,11,14,0
2966907,30,6,married,rented,yes,Magistrate,5,12,0
4994848,58,9,single,rented,no,Software_Developer,9,13,0
326455,27,20,single,rented,no,Drafter,3,14,0
6227811,60,14,single,owned,no,Economist,12,12,0
7839236,68,7,single,rented,no,Biomedical_Engineer,7,14,1
6115704,57,17,single,owned,no,Economist,12,14,1
7433875,32,12,single,rented,yes,Fashion_Designer,11,10,1
6245331,65,6,single,rented,no,Financial_Analyst,6,12,0
4700701,48,14,single,rented,yes,Secretary,12,12,0
5898669,32,9,married,rented,no,Firefighter,6,13,0
4329713,42,9,married,rented,no,Fashion_Designer,6,14,0
4047079,49,7,single,rented,yes,Dentist,5,14,0
9784947,24,11,single,rented,no,Designer,11,14,0
6097344,27,16,single,rented,yes,Statistician,10,14,0
826681,78,4,married,rented,yes,Analyst,4,14,0
137594,52,10,single,rented,yes,Technical_writer,7,10,1
575463,60,12,single,rented,yes,Firefighter,11,13,0
8005608,65,8,single,rented,no,Civil_servant,8,12,1
7527288,24,10,single,rented,no,Biomedical_Engineer,5,11,0
7021605,31,14,single,rented,no,Technician,8,10,0
3449511,50,19,single,rented,yes,Computer_hardware_engineer,3,14,0
3472864,39,10,single,rented,yes,Software_Developer,5,13,0
5083653,35,14,single,rented,yes,Statistician,12,11,0
6275695,66,10,single,rented,no,Architect,10,11,1
4336059,54,12,single,rented,yes,Firefighter,12,13,0
4976661,22,9,single,rented,no,Architect,8,12,0
4417164,42,12,single,rented,no,Web_designer,8,14,0
9334042,52,10,single,rented,yes,Economist,5,11,0
535157,50,2,married,rented,no,Engineer,2,10,0
4126991,66,3,single,rented,no,Microbiologist,3,12,0
5165629,61,0,single,rented,no,Aviator,0,12,1
1240330,29,18,married,rented,yes,Consultant,12,14,0
862841,77,7,single,rented,no,Fashion_Designer,7,14,0
6501716,37,5,single,rented,no,Civil_servant,5,13,0
1197375,41,0,single,rented,yes,Microbiologist,0,11,0
7430695,59,8,single,rented,no,Chef,8,10,0
4726819,67,5,single,rented,no,Consultant,5,13,0
1319541,72,10,married,rented,no,Politician,10,14,0
1281960,24,8,single,rented,no,Politician,8,13,0
5522159,22,6,single,rented,no,Computer_hardware_engineer,6,12,1
4428363,46,11,single,rented,no,Software_Developer,11,10,1
4759451,60,4,married,rented,no,Official,4,13,0
7154493,28,4,single,rented,no,Engineer,4,13,1
245844,67,4,married,rented,no,Economist,3,11,0
8769550,23,13,single,rented,no,Computer_hardware_engineer,9,10,1
8312895,35,12,single,rented,no,Psychologist,11,14,0
4432483,69,6,single,rented,no,Hotel_Manager,6,10,0
9867887,79,9,single,rented,no,Physician,4,12,0
444242,77,11,married,rented,no,Dentist,8,12,0
8288147,32,20,single,rented,no,Financial_Analyst,3,13,0
3159260,62,4,single,rented,no,Petroleum_Engineer,4,10,0
8753042,74,12,married,rented,no,Computer_operator,9,12,0
46750,33,13,single,rented,yes,Chef,10,11,1
1855377,26,3,single,rented,no,Magistrate,3,13,0
7187813,47,2,single,rented,no,Flight_attendant,2,13,1
5644262,60,7,single,rented,no,Engineer,3,11,1
4171960,73,16,single,rented,no,Magistrate,10,10,0
9397962,58,3,married,rented,no,Psychologist,3,14,0
3643187,77,20,single,rented,no,Web_designer,12,14,0
2015341,47,6,single,rented,no,Graphic_Designer,6,13,0
7465121,37,2,single,rented,yes,Microbiologist,2,12,0
3606323,33,0,single,rented,yes,Mechanical_engineer,0,11,0
2966871,78,7,married,rented,no,Magistrate,3,11,0
8496659,59,12,single,rented,no,Army_officer,8,12,0
7889777,35,15,single,rented,no,Physician,13,10,0
3345583,32,2,single,rented,no,Mechanical_engineer,2,14,0
4392927,41,2,single,rented,no,Chemical_engineer,2,13,1
4995211,68,9,single,rented,no,Firefighter,9,11,0
3970273,53,14,single,rented,no,Air_traffic_controller,4,12,0
2570688,46,9,single,rented,no,Firefighter,9,11,0
2506726,54,11,single,rented,no,Designer,6,14,0
9657655,76,0,single,rented,no,Psychologist,0,12,0
4269729,70,8,single,rented,yes,Fashion_Designer,8,13,0
799233,72,4,single,rented,yes,Hotel_Manager,4,14,0
8791091,33,15,single,rented,no,Microbiologist,12,14,0
1122270,72,11,single,rented,no,Librarian,5,12,0
3775604,46,11,single,rented,no,Surgeon,5,11,1
8195887,79,16,single,rented,no,Chef,14,13,1
4392149,59,11,single,rented,no,Secretary,10,13,0
4991059,39,11,single,rented,no,Magistrate,11,14,0
1013313,32,16,single,rented,no,Geologist,10,12,0
1800877,21,10,married,rented,yes,Software_Developer,5,13,0
2217063,34,3,single,rented,no,Computer_hardware_engineer,3,11,0
1134496,77,3,single,rented,no,Surgeon,3,10,1
7462623,46,13,single,rented,no,Fashion_Designer,10,14,0
6045182,78,6,single,rented,no,Designer,6,12,0
6847133,69,7,single,rented,no,Surgeon,6,10,0
5403886,29,14,single,rented,no,Scientist,7,10,0
1856689,46,5,single,rented,yes,Air_traffic_controller,5,12,1
4998898,27,13,single,rented,no,Economist,13,11,0
3367218,28,5,single,rented,no,Analyst,4,11,0
4195266,40,20,married,rented,no,Web_designer,14,14,0
8451099,70,4,single,rented,yes,Design_Engineer,4,13,1
624985,47,11,single,rented,no,Software_Developer,6,11,1
3207222,28,3,single,rented,yes,Dentist,3,10,0
4341286,75,1,single,rented,no,Consultant,1,13,0
233888,64,1,single,rented,no,Psychologist,1,10,1
2942291,50,11,single,owned,no,Financial_Analyst,4,11,0
